-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         0.01%      29.493ms         0.02%      68.513ms      34.222us       0.000us         0.00%       0.000us       0.000us      32.01 Mb           0 b           0 b           0 b          2002  
                                            aten::empty         3.01%       11.382s         3.01%       11.397s      19.523us       0.000us         0.00%       0.000us       0.000us     105.70 Mb     105.70 Mb    1803.59 Gb    1803.59 Gb        583773  
                                            aten::zero_         0.51%        1.925s         1.54%        5.845s      30.898us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b        189159  
                                      model_performance        51.91%      196.628s        85.79%      324.950s      324.950s       0.000us         0.00%        2.844s        2.844s    -134.55 Kb     -15.26 Gb     425.00 Kb   -2108.43 Gb             1  
                                            aten::stack         0.00%     375.000us         0.05%     203.892ms      16.991ms       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b           0 b           0 b            12  
                                              aten::cat         0.02%      81.729ms         0.18%     674.218ms     134.387us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     172.86 Gb           0 b          5017  
                                             aten::_cat         0.09%     359.658ms         0.16%     592.489ms     118.096us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     172.86 Gb           0 b          5017  
                                          aten::resize_         0.74%        2.812s         0.75%        2.835s      23.413us       0.000us         0.00%       0.000us       0.000us      72.00 Mb      72.00 Mb     851.46 Gb     851.46 Gb        121073  
                                           aten::narrow         0.02%      81.070ms         0.06%     228.097ms      22.669us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10062  
                                            aten::slice         0.03%     119.539ms         0.04%     147.052ms      14.613us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10063  
