-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         0.01%      34.369ms         0.02%      94.951ms      47.428us       0.000us         0.00%       0.000us       0.000us      32.01 Mb           0 b           0 b           0 b          2002  
                                            aten::empty         2.43%        9.894s         2.44%        9.914s      16.982us       0.000us         0.00%       0.000us       0.000us     105.70 Mb     105.70 Mb    1816.98 Gb    1816.98 Gb        583773  
                                            aten::zero_         0.48%        1.969s         1.53%        6.238s      32.979us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b        189159  
                                      model_performance        52.76%      214.775s        86.05%      350.306s      350.306s       0.000us         0.00%        2.565s        2.565s      -3.30 Kb     -15.63 Gb     446.00 Kb   -2269.50 Gb             1  
                                            aten::stack         0.00%       2.460ms         0.04%     183.035ms      15.253ms       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b           0 b           0 b            12  
                                              aten::cat         0.02%      89.167ms         0.17%     675.926ms     134.727us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     171.88 Gb           0 b          5017  
                                             aten::_cat         0.08%     337.903ms         0.14%     586.759ms     116.954us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     171.88 Gb           0 b          5017  
                                          aten::resize_         0.59%        2.401s         0.59%        2.411s      19.916us       0.000us         0.00%       0.000us       0.000us      72.00 Mb      72.00 Mb    1068.34 Gb    1068.34 Gb        121073  
                                           aten::narrow         0.02%      82.232ms         0.06%     233.834ms      23.239us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10062  
                                            aten::slice         0.03%     123.277ms         0.04%     151.615ms      15.067us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10063  
