-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         0.01%      32.117ms         0.02%      76.788ms      38.356us       0.000us         0.00%       0.000us       0.000us      32.01 Mb           0 b           0 b           0 b          2002  
                                            aten::empty         2.19%        8.057s         2.19%        8.061s      14.558us       0.000us         0.00%       0.000us       0.000us     105.70 Mb     105.70 Mb    1805.39 Gb    1805.39 Gb        553728  
                                            aten::zero_         0.46%        1.696s         1.48%        5.427s      31.162us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b        174144  
                                      model_performance        55.16%      202.924s        84.83%      312.106s      312.106s       0.000us         0.00%        2.529s        2.529s      -1.09 Mb     -15.64 Gb       1.15 Mb   -2170.26 Gb             1  
                                            aten::stack         0.00%     456.000us         0.04%     158.519ms      13.210ms       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b           0 b           0 b            12  
                                              aten::cat         0.02%      76.951ms         0.17%     615.683ms     122.719us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     171.88 Gb           0 b          5017  
                                             aten::_cat         0.08%     308.232ms         0.15%     538.732ms     107.381us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     171.88 Gb           0 b          5017  
                                          aten::resize_         0.26%     940.615ms         0.26%     948.499ms      30.554us       0.000us         0.00%       0.000us       0.000us      72.00 Mb      72.00 Mb     827.27 Gb     827.27 Gb         31043  
                                           aten::narrow         0.02%      79.855ms         0.06%     228.156ms      22.675us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10062  
                                            aten::slice         0.03%     120.502ms         0.04%     148.319ms      14.739us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10063  
