-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         0.01%      25.492ms         0.02%      61.266ms      30.602us       0.000us         0.00%       0.000us       0.000us      32.01 Mb           0 b           0 b           0 b          2002  
                                            aten::empty         2.29%        8.314s         2.29%        8.328s      15.040us       0.000us         0.00%       0.000us       0.000us     105.70 Mb     105.70 Mb    1846.29 Gb    1846.29 Gb        553728  
                                            aten::zero_         0.46%        1.665s         1.48%        5.358s      30.765us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b        174144  
                                      model_performance        53.40%      193.839s        85.88%      311.730s      311.730s       0.000us         0.00%        2.697s        2.697s      -2.21 Mb     -16.68 Gb       1.88 Mb   -2264.27 Gb             1  
                                            aten::stack         0.00%     452.000us         0.05%     187.974ms      15.665ms       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b           0 b           0 b            12  
                                              aten::cat         0.02%      86.608ms         0.18%     666.973ms     132.943us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     171.88 Gb           0 b          5017  
                                             aten::_cat         0.09%     337.763ms         0.16%     580.365ms     115.680us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     171.88 Gb           0 b          5017  
                                          aten::resize_         0.15%     558.011ms         0.15%     560.686ms      18.062us       0.000us         0.00%       0.000us       0.000us      72.00 Mb      72.00 Mb     829.00 Gb     829.00 Gb         31043  
                                           aten::narrow         0.02%      79.033ms         0.06%     228.739ms      22.733us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10062  
                                            aten::slice         0.03%     121.785ms         0.04%     149.733ms      14.880us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10063  
