-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         0.01%      24.870ms         0.01%      59.018ms      29.480us       0.000us         0.00%       0.000us       0.000us      32.01 Mb           0 b           0 b           0 b          2002  
                                            aten::empty         1.92%        7.630s         1.92%        7.635s      13.079us       0.000us         0.00%       0.000us       0.000us     105.70 Mb     105.70 Mb    1806.38 Gb    1806.38 Gb        583773  
                                            aten::zero_         0.42%        1.658s         1.38%        5.497s      29.060us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b        189159  
                                      model_performance        50.16%      199.249s        86.65%      344.190s      344.190s       0.000us         0.00%        1.932s        1.932s      60.20 Kb     -18.82 Gb       3.71 Mb   -3694.12 Gb             1  
                                            aten::stack         0.00%     372.000us         0.04%     149.368ms      12.447ms       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b           0 b           0 b            12  
                                              aten::cat         0.02%      71.049ms         0.14%     574.124ms     114.436us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     171.88 Gb           0 b          5017  
                                             aten::_cat         0.07%     281.684ms         0.13%     503.075ms     100.274us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     171.88 Gb           0 b          5017  
                                          aten::resize_         0.55%        2.166s         0.55%        2.169s      17.912us       0.000us         0.00%       0.000us       0.000us      72.00 Mb      72.00 Mb    2954.25 Gb    2954.25 Gb        121073  
                                           aten::narrow         0.02%      80.143ms         0.06%     228.856ms      22.745us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10062  
                                            aten::slice         0.03%     120.970ms         0.04%     148.739ms      14.781us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10063  
