-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         0.01%      31.016ms         0.02%      72.217ms      36.072us       0.000us         0.00%       0.000us       0.000us      32.01 Mb           0 b           0 b           0 b          2002  
                                            aten::empty         2.21%        8.492s         2.21%        8.493s      15.338us       0.000us         0.00%       0.000us       0.000us     105.70 Mb     105.70 Mb    1802.16 Gb    1802.16 Gb        553728  
                                            aten::zero_         0.49%        1.883s         1.52%        5.849s      33.586us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b        174144  
                                      model_performance        53.95%      207.533s        86.28%      331.900s      331.900s       0.000us         0.00%        2.591s        2.591s    -219.58 Kb     -15.43 Gb       1.47 Mb   -2138.10 Gb             1  
                                            aten::stack         0.00%     503.000us         0.05%     174.656ms      14.555ms       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b           0 b           0 b            12  
                                              aten::cat         0.02%      88.393ms         0.18%     678.200ms     135.180us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     171.88 Gb           0 b          5017  
                                             aten::_cat         0.09%     341.567ms         0.15%     589.807ms     117.562us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     171.88 Gb           0 b          5017  
                                          aten::resize_         0.16%     609.224ms         0.16%     610.247ms      19.658us       0.000us         0.00%       0.000us       0.000us      72.00 Mb      72.00 Mb     826.96 Gb     826.96 Gb         31043  
                                           aten::narrow         0.02%      81.946ms         0.06%     234.612ms      23.317us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10062  
                                            aten::slice         0.03%     124.725ms         0.04%     152.682ms      15.173us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10063  
