-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         0.01%      23.448ms         0.02%      56.185ms      28.064us       0.000us         0.00%       0.000us       0.000us      32.01 Mb           0 b           0 b           0 b          2002  
                                            aten::empty         2.73%        9.645s         2.74%        9.659s      17.444us       0.000us         0.00%       0.000us       0.000us     105.70 Mb     105.70 Mb    2038.59 Gb    2038.59 Gb        553728  
                                            aten::zero_         0.42%        1.483s         1.44%        5.079s      29.167us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b        174144  
                                      model_performance        53.65%      189.442s        85.58%      302.205s      302.205s       0.000us         0.00%        2.398s        2.398s      -4.45 Mb     -18.77 Gb       4.42 Mb   -2390.86 Gb             1  
                                            aten::stack         0.00%       2.040ms         0.05%     178.198ms      14.850ms       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b           0 b           0 b            12  
                                              aten::cat         0.02%      68.490ms         0.17%     590.446ms     117.689us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     171.88 Gb           0 b          5017  
                                             aten::_cat         0.09%     306.525ms         0.15%     521.956ms     104.037us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     171.88 Gb           0 b          5017  
                                          aten::resize_         0.14%     505.762ms         0.14%     506.605ms      16.319us       0.000us         0.00%       0.000us       0.000us      72.00 Mb      72.00 Mb     826.97 Gb     826.97 Gb         31043  
                                           aten::narrow         0.02%      81.881ms         0.07%     230.450ms      22.903us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10062  
                                            aten::slice         0.03%     120.255ms         0.04%     148.621ms      14.769us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10063  
