-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         0.01%      28.417ms         0.02%      66.727ms      33.330us       0.000us         0.00%       0.000us       0.000us      32.01 Mb           0 b           0 b           0 b          2002  
                                            aten::empty         2.07%        7.942s         2.07%        7.950s      13.618us       0.000us         0.00%       0.000us       0.000us     105.70 Mb     105.70 Mb    1803.67 Gb    1803.67 Gb        583773  
                                            aten::zero_         0.49%        1.882s         1.55%        5.925s      31.321us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b        189159  
                                      model_performance        52.42%      200.889s        85.90%      329.215s      329.215s       0.000us         0.00%        2.515s        2.515s      -5.61 Kb     -15.42 Gb    -308.00 Kb   -2173.74 Gb             1  
                                            aten::stack         0.00%     476.000us         0.06%     214.362ms      17.863ms       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b           0 b           0 b            12  
                                              aten::cat         0.02%      86.085ms         0.18%     685.451ms     136.626us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     171.88 Gb           0 b          5017  
                                             aten::_cat         0.10%     368.841ms         0.16%     599.366ms     119.467us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     171.88 Gb           0 b          5017  
                                          aten::resize_         0.61%        2.345s         0.62%        2.357s      19.469us       0.000us         0.00%       0.000us       0.000us      72.00 Mb      72.00 Mb     942.43 Gb     942.43 Gb        121073  
                                           aten::narrow         0.02%      84.574ms         0.06%     241.527ms      24.004us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10062  
                                            aten::slice         0.03%     129.233ms         0.04%     156.973ms      15.599us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10063  
